id,label,label_str,source,category,duplicate_group,heldout_category,split
article_0043,0,Non-clickbait,VnExpress,Tin tức tổng hợp,37,Chính trị & An ninh,train
article_0044,0,Non-clickbait,VnExpress,Tin tức tổng hợp,38,Chính trị & An ninh,train
article_0045,0,Non-clickbait,VnExpress,Tin tức tổng hợp,39,Chính trị & An ninh,train
article_0046,0,Non-clickbait,VnExpress,Tin tức tổng hợp,40,Chính trị & An ninh,train
article_0047,0,Non-clickbait,VnExpress,Tin tức tổng hợp,41,Chính trị & An ninh,train
article_0048,0,Non-clickbait,VnExpress,Tin tức tổng hợp,42,Chính trị & An ninh,train
article_0049,0,Non-clickbait,VnExpress,Tin tức tổng hợp,43,Chính trị & An ninh,train
article_0050,0,Non-clickbait,VnExpress,Tin tức tổng hợp,44,Chính trị & An ninh,train
article_0051,0,Non-clickbait,Tuổi Trẻ,Tin tức tổng hợp,45,Chính trị & An ninh,train
article_0052,0,Non-clickbait,Tuổi Trẻ,Tin tức tổng hợp,46,Chính trị & An ninh,train
article_0053,0,Non-clickbait,Tuổi Trẻ,Tin tức tổng hợp,47,Chính trị & An ninh,train
article_0054,0,Non-clickbait,Tuổi Trẻ,Tin tức tổng hợp,48,Chính trị & An ninh,train
article_0055,0,Non-clickbait,Tuổi Trẻ,Other,49,Chính trị & An ninh,train
article_0056,0,Non-clickbait,Tuổi Trẻ,Du lịch & Ẩm thực,50,Chính trị & An ninh,train
article_0057,0,Non-clickbait,Tuổi Trẻ,Kinh doanh & Kinh tế,51,Chính trị & An ninh,train
article_0058,0,Non-clickbait,Tuổi Trẻ,Other,52,Chính trị & An ninh,train
article_0060,1,Clickbait,Tuổi Trẻ,Other,53,Chính trị & An ninh,train
article_0061,1,Clickbait,Tuổi Trẻ,Other,54,Chính trị & An ninh,train
article_0063,0,Non-clickbait,Tuổi Trẻ,Chính trị & An ninh,55,Chính trị & An ninh,test
article_0065,0,Non-clickbait,Tuổi Trẻ,Other,56,Chính trị & An ninh,train
article_0066,0,Non-clickbait,Tuổi Trẻ,Other,57,Chính trị & An ninh,train
article_0067,0,Non-clickbait,Tuổi Trẻ,Other,58,Chính trị & An ninh,train
article_0068,0,Non-clickbait,Tuổi Trẻ,Other,59,Chính trị & An ninh,train
article_0069,1,Clickbait,Tuổi Trẻ,Other,60,Chính trị & An ninh,train
article_0070,0,Non-clickbait,Tuổi Trẻ,Other,61,Chính trị & An ninh,train
article_0071,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,62,Chính trị & An ninh,test
article_0072,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,63,Chính trị & An ninh,test
article_0073,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,64,Chính trị & An ninh,test
article_0074,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,65,Chính trị & An ninh,train
article_0075,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,66,Chính trị & An ninh,test
article_0076,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,67,Chính trị & An ninh,test
article_0077,0,Non-clickbait,Thanh Niên,Other,68,Chính trị & An ninh,train
article_0078,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,69,Chính trị & An ninh,test
article_0079,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,70,Chính trị & An ninh,test
article_0080,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,71,Chính trị & An ninh,test
article_0081,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,72,Chính trị & An ninh,test
article_0082,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,73,Chính trị & An ninh,train
article_0083,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,74,Chính trị & An ninh,test
article_0084,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,75,Chính trị & An ninh,test
article_0085,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,76,Chính trị & An ninh,test
article_0086,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,77,Chính trị & An ninh,test
article_0087,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,78,Chính trị & An ninh,test
article_0088,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,79,Chính trị & An ninh,test
article_0090,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,80,Chính trị & An ninh,test
article_0091,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,81,Chính trị & An ninh,test
article_0092,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,82,Chính trị & An ninh,train
article_0093,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,83,Chính trị & An ninh,test
article_0094,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,84,Chính trị & An ninh,test
article_0095,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,85,Chính trị & An ninh,test
article_0096,0,Non-clickbait,Thanh Niên,Other,86,Chính trị & An ninh,train
article_0097,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,87,Chính trị & An ninh,test
article_0098,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,88,Chính trị & An ninh,train
article_0099,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,89,Chính trị & An ninh,train
article_0100,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,90,Chính trị & An ninh,train
article_0101,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,91,Chính trị & An ninh,test
article_0102,0,Non-clickbait,Thanh Niên,Other,92,Chính trị & An ninh,train
article_0103,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,93,Chính trị & An ninh,test
article_0104,0,Non-clickbait,Thanh Niên,Other,94,Chính trị & An ninh,train
article_0105,0,Non-clickbait,Thanh Niên,Other,95,Chính trị & An ninh,train
article_0106,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,96,Chính trị & An ninh,train
article_0107,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,97,Chính trị & An ninh,train
article_0108,0,Non-clickbait,Thanh Niên,Other,98,Chính trị & An ninh,train
article_0109,0,Non-clickbait,VietNamNet,Chính trị & An ninh,99,Chính trị & An ninh,test
article_0110,0,Non-clickbait,VietNamNet,Chính trị & An ninh,100,Chính trị & An ninh,test
article_0111,0,Non-clickbait,VietNamNet,Chính trị & An ninh,101,Chính trị & An ninh,test
article_0112,0,Non-clickbait,VietNamNet,Chính trị & An ninh,102,Chính trị & An ninh,test
article_0113,0,Non-clickbait,VietNamNet,Chính trị & An ninh,103,Chính trị & An ninh,test
article_0114,0,Non-clickbait,VietNamNet,Chính trị & An ninh,104,Chính trị & An ninh,test
article_0115,0,Non-clickbait,VietNamNet,Chính trị & An ninh,105,Chính trị & An ninh,test
article_0117,0,Non-clickbait,VietNamNet,Chính trị & An ninh,106,Chính trị & An ninh,test
article_0118,0,Non-clickbait,VietNamNet,Chính trị & An ninh,107,Chính trị & An ninh,test
article_0119,0,Non-clickbait,VietNamNet,Chính trị & An ninh,108,Chính trị & An ninh,test
article_0120,0,Non-clickbait,VietNamNet,Chính trị & An ninh,109,Chính trị & An ninh,test
article_0121,0,Non-clickbait,VietNamNet,Chính trị & An ninh,110,Chính trị & An ninh,test
article_0122,0,Non-clickbait,VietNamNet,Chính trị & An ninh,111,Chính trị & An ninh,test
article_0123,0,Non-clickbait,VietNamNet,Chính trị & An ninh,112,Chính trị & An ninh,test
article_0124,0,Non-clickbait,VietNamNet,Chính trị & An ninh,113,Chính trị & An ninh,test
article_0125,0,Non-clickbait,VietNamNet,Chính trị & An ninh,114,Chính trị & An ninh,test
article_0126,0,Non-clickbait,VietNamNet,Chính trị & An ninh,115,Chính trị & An ninh,test
article_0127,0,Non-clickbait,VietNamNet,Chính trị & An ninh,116,Chính trị & An ninh,test
article_0128,0,Non-clickbait,VietNamNet,Chính trị & An ninh,117,Chính trị & An ninh,test
article_0129,0,Non-clickbait,VietNamNet,Chính trị & An ninh,118,Chính trị & An ninh,test
article_0130,0,Non-clickbait,VietNamNet,Chính trị & An ninh,119,Chính trị & An ninh,test
article_0131,0,Non-clickbait,VietNamNet,Chính trị & An ninh,120,Chính trị & An ninh,test
article_0132,0,Non-clickbait,VietNamNet,Chính trị & An ninh,121,Chính trị & An ninh,test
article_0133,0,Non-clickbait,VietNamNet,Chính trị & An ninh,122,Chính trị & An ninh,test
article_0134,0,Non-clickbait,VietNamNet,Chính trị & An ninh,123,Chính trị & An ninh,test
article_0135,0,Non-clickbait,VietNamNet,Chính trị & An ninh,124,Chính trị & An ninh,test
article_0136,0,Non-clickbait,VietNamNet,Chính trị & An ninh,125,Chính trị & An ninh,test
article_0137,0,Non-clickbait,VietNamNet,Chính trị & An ninh,126,Chính trị & An ninh,test
article_0138,0,Non-clickbait,VietNamNet,Chính trị & An ninh,127,Chính trị & An ninh,test
article_0150,1,Clickbait,SaoStar,Giải trí & Showbiz,128,Chính trị & An ninh,train
article_0151,1,Clickbait,SaoStar,Giải trí & Showbiz,129,Chính trị & An ninh,train
article_0152,1,Clickbait,SaoStar,Giải trí & Showbiz,130,Chính trị & An ninh,train
article_0153,1,Clickbait,SaoStar,Giải trí & Showbiz,131,Chính trị & An ninh,train
article_0154,1,Clickbait,SaoStar,Giải trí & Showbiz,132,Chính trị & An ninh,train
article_0155,1,Clickbait,SaoStar,Giải trí & Showbiz,133,Chính trị & An ninh,train
article_0156,1,Clickbait,SaoStar,Giải trí & Showbiz,134,Chính trị & An ninh,train
article_0157,1,Clickbait,SaoStar,Giải trí & Showbiz,135,Chính trị & An ninh,train
article_0158,1,Clickbait,SaoStar,Giải trí & Showbiz,136,Chính trị & An ninh,train
article_0162,1,Clickbait,SaoStar,Giải trí & Showbiz,137,Chính trị & An ninh,train
article_0163,1,Clickbait,SaoStar,Giải trí & Showbiz,138,Chính trị & An ninh,train
article_0164,1,Clickbait,SaoStar,Giải trí & Showbiz,139,Chính trị & An ninh,train
article_0165,1,Clickbait,SaoStar,Giải trí & Showbiz,140,Chính trị & An ninh,train
article_0166,1,Clickbait,SaoStar,Giải trí & Showbiz,141,Chính trị & An ninh,train
article_0167,1,Clickbait,SaoStar,Giải trí & Showbiz,142,Chính trị & An ninh,train
article_0169,1,Clickbait,SaoStar,Giải trí & Showbiz,143,Chính trị & An ninh,train
article_0170,1,Clickbait,SaoStar,Giải trí & Showbiz,144,Chính trị & An ninh,train
article_0171,1,Clickbait,SaoStar,Giải trí & Showbiz,145,Chính trị & An ninh,train
article_0172,1,Clickbait,SaoStar,Giải trí & Showbiz,146,Chính trị & An ninh,train
article_0173,1,Clickbait,SaoStar,Giải trí & Showbiz,147,Chính trị & An ninh,train
article_0174,1,Clickbait,SaoStar,Giải trí & Showbiz,148,Chính trị & An ninh,train
article_0175,1,Clickbait,SaoStar,Giải trí & Showbiz,149,Chính trị & An ninh,train
article_0176,1,Clickbait,SaoStar,Giải trí & Showbiz,150,Chính trị & An ninh,train
article_0177,0,Non-clickbait,24h,Tin tức tổng hợp,151,Chính trị & An ninh,train
article_0178,0,Non-clickbait,24h,Tin tức tổng hợp,152,Chính trị & An ninh,train
article_0179,0,Non-clickbait,24h,Tin tức tổng hợp,153,Chính trị & An ninh,train
article_0180,0,Non-clickbait,24h,Tin tức tổng hợp,154,Chính trị & An ninh,train
article_0181,0,Non-clickbait,24h,Tin tức tổng hợp,155,Chính trị & An ninh,train
article_0182,0,Non-clickbait,24h,Tin tức tổng hợp,156,Chính trị & An ninh,train
article_0183,0,Non-clickbait,24h,Tin tức tổng hợp,157,Chính trị & An ninh,train
article_0184,0,Non-clickbait,24h,Tin tức tổng hợp,158,Chính trị & An ninh,train
article_0185,0,Non-clickbait,24h,Tin tức tổng hợp,159,Chính trị & An ninh,train
article_0186,0,Non-clickbait,24h,Tin tức tổng hợp,160,Chính trị & An ninh,train
article_0188,0,Non-clickbait,24h,Tin tức tổng hợp,161,Chính trị & An ninh,train
article_0189,0,Non-clickbait,24h,Tin tức tổng hợp,162,Chính trị & An ninh,train
article_0190,0,Non-clickbait,24h,Tin tức tổng hợp,163,Chính trị & An ninh,train
article_0191,0,Non-clickbait,24h,Tin tức tổng hợp,164,Chính trị & An ninh,train
article_0192,0,Non-clickbait,24h,Tin tức tổng hợp,165,Chính trị & An ninh,train
article_0193,0,Non-clickbait,24h,Giải trí & Showbiz,166,Chính trị & An ninh,train
article_0196,0,Non-clickbait,24h,Tin tức tổng hợp,167,Chính trị & An ninh,train
article_0198,0,Non-clickbait,24h,Tin tức tổng hợp,168,Chính trị & An ninh,train
article_0199,0,Non-clickbait,24h,Tin tức tổng hợp,169,Chính trị & An ninh,train
article_0200,0,Non-clickbait,24h,Giải trí & Showbiz,170,Chính trị & An ninh,train
article_0201,0,Non-clickbait,24h,Tin tức tổng hợp,171,Chính trị & An ninh,train
article_0202,0,Non-clickbait,24h,Tin tức tổng hợp,172,Chính trị & An ninh,train
article_0203,0,Non-clickbait,24h,Tin tức tổng hợp,173,Chính trị & An ninh,train
article_0204,0,Non-clickbait,24h,Tin tức tổng hợp,174,Chính trị & An ninh,train
article_0205,0,Non-clickbait,24h,Tin tức tổng hợp,175,Chính trị & An ninh,train
article_0206,1,Clickbait,24h,Tin tức tổng hợp,176,Chính trị & An ninh,train
article_0207,0,Non-clickbait,24h,Tin tức tổng hợp,177,Chính trị & An ninh,train
article_0208,0,Non-clickbait,24h,Tin tức tổng hợp,178,Chính trị & An ninh,train
article_0209,0,Non-clickbait,24h,Tin tức tổng hợp,179,Chính trị & An ninh,train
article_0210,0,Non-clickbait,24h,Tin tức tổng hợp,180,Chính trị & An ninh,train
article_0211,0,Non-clickbait,24h,Tin tức tổng hợp,181,Chính trị & An ninh,train
article_0212,1,Clickbait,24h,Tin tức tổng hợp,182,Chính trị & An ninh,train
article_0216,0,Non-clickbait,24h,Quốc tế,183,Chính trị & An ninh,train
article_0217,0,Non-clickbait,24h,Quốc tế,184,Chính trị & An ninh,train
article_0219,0,Non-clickbait,24h,Quốc tế,185,Chính trị & An ninh,train
article_0220,0,Non-clickbait,Báo Mới,Thể thao,186,Chính trị & An ninh,train
article_0225,1,Clickbait,Báo Mới,Thể thao,187,Chính trị & An ninh,train
article_0226,1,Clickbait,Báo Mới,Thể thao,188,Chính trị & An ninh,train
article_0227,1,Clickbait,Báo Mới,Thể thao,189,Chính trị & An ninh,train
article_0228,1,Clickbait,Báo Mới,Thể thao,190,Chính trị & An ninh,train
article_0230,0,Non-clickbait,Báo Mới,Thể thao,191,Chính trị & An ninh,train
article_0234,1,Clickbait,Báo Mới,Thể thao,192,Chính trị & An ninh,train
article_0235,0,Non-clickbait,Báo Mới,Thể thao,193,Chính trị & An ninh,train
article_0238,1,Clickbait,Báo Mới,Thể thao,194,Chính trị & An ninh,train
article_0242,0,Non-clickbait,Báo Mới,Thể thao,195,Chính trị & An ninh,train
article_0243,0,Non-clickbait,Báo Mới,Thể thao,196,Chính trị & An ninh,train
article_0244,0,Non-clickbait,Báo Mới,Thể thao,197,Chính trị & An ninh,train
article_0246,0,Non-clickbait,Báo Mới,Thể thao,198,Chính trị & An ninh,train
article_0247,0,Non-clickbait,Báo Mới,Thể thao,199,Chính trị & An ninh,train
article_0248,0,Non-clickbait,Báo Mới,Thể thao,200,Chính trị & An ninh,train
article_0249,0,Non-clickbait,Báo Mới,Thể thao,201,Chính trị & An ninh,train
article_0250,0,Non-clickbait,Báo Mới,Thể thao,202,Chính trị & An ninh,train
article_0252,0,Non-clickbait,Báo Mới,Thể thao,203,Chính trị & An ninh,train
article_0253,0,Non-clickbait,Báo Mới,Thể thao,204,Chính trị & An ninh,train
article_0254,0,Non-clickbait,Báo Mới,Thể thao,205,Chính trị & An ninh,train
article_0255,0,Non-clickbait,Báo Mới,Thể thao,206,Chính trị & An ninh,train
article_0256,0,Non-clickbait,Báo Mới,Thể thao,207,Chính trị & An ninh,train
article_0257,0,Non-clickbait,Báo Mới,Thể thao,208,Chính trị & An ninh,train
article_0258,0,Non-clickbait,Báo Mới,Thể thao,209,Chính trị & An ninh,train
article_0259,1,Clickbait,Báo Mới,Thể thao,210,Chính trị & An ninh,train
article_0260,0,Non-clickbait,Báo Mới,Thể thao,211,Chính trị & An ninh,train
article_0261,0,Non-clickbait,Báo Mới,Thể thao,212,Chính trị & An ninh,train
article_0262,0,Non-clickbait,Báo Mới,Thể thao,213,Chính trị & An ninh,train
article_0263,0,Non-clickbait,Báo Mới,Thể thao,214,Chính trị & An ninh,train
article_0264,0,Non-clickbait,Báo Mới,Thể thao,215,Chính trị & An ninh,train
article_0265,0,Non-clickbait,Báo Mới,Thể thao,216,Chính trị & An ninh,train
article_0266,0,Non-clickbait,Báo Mới,Thể thao,217,Chính trị & An ninh,train
article_0267,0,Non-clickbait,Báo Mới,Thể thao,218,Chính trị & An ninh,train
article_0268,0,Non-clickbait,Báo Mới,Thể thao,219,Chính trị & An ninh,train
article_0269,1,Clickbait,Báo Mới,Thể thao,220,Chính trị & An ninh,train
article_0271,0,Non-clickbait,Báo Mới,Thể thao,221,Chính trị & An ninh,train
article_0273,1,Clickbait,Báo Mới,Thể thao,222,Chính trị & An ninh,train
article_0274,0,Non-clickbait,Báo Mới,Thể thao,223,Chính trị & An ninh,train
article_0275,0,Non-clickbait,Báo Mới,Thể thao,224,Chính trị & An ninh,train
article_0277,0,Non-clickbait,VnExpress,Quốc tế,225,Chính trị & An ninh,train
article_0279,0,Non-clickbait,VnExpress,Quốc tế,226,Chính trị & An ninh,train
article_0281,0,Non-clickbait,VnExpress,Quốc tế,227,Chính trị & An ninh,train
article_0283,0,Non-clickbait,VnExpress,Quốc tế,228,Chính trị & An ninh,train
article_0284,0,Non-clickbait,VnExpress,Quốc tế,229,Chính trị & An ninh,train
article_0285,0,Non-clickbait,VnExpress,Quốc tế,230,Chính trị & An ninh,train
article_0286,0,Non-clickbait,VnExpress,Quốc tế,231,Chính trị & An ninh,train
article_0287,0,Non-clickbait,VnExpress,Quốc tế,232,Chính trị & An ninh,train
article_0288,0,Non-clickbait,VnExpress,Quốc tế,233,Chính trị & An ninh,train
article_0289,0,Non-clickbait,VnExpress,Quốc tế,234,Chính trị & An ninh,train
article_0290,0,Non-clickbait,VnExpress,Quốc tế,235,Chính trị & An ninh,train
article_0291,0,Non-clickbait,VnExpress,Quốc tế,236,Chính trị & An ninh,train
article_0292,0,Non-clickbait,VnExpress,Quốc tế,237,Chính trị & An ninh,train
article_0293,0,Non-clickbait,VnExpress,Quốc tế,238,Chính trị & An ninh,train
article_0294,0,Non-clickbait,VnExpress,Quốc tế,239,Chính trị & An ninh,train
article_0296,0,Non-clickbait,VnExpress,Quốc tế,240,Chính trị & An ninh,train
article_0297,0,Non-clickbait,VnExpress,Quốc tế,241,Chính trị & An ninh,train
article_0298,0,Non-clickbait,VnExpress,Quốc tế,242,Chính trị & An ninh,train
article_0299,0,Non-clickbait,VnExpress,Quốc tế,243,Chính trị & An ninh,train
article_0300,0,Non-clickbait,VnExpress,Quốc tế,244,Chính trị & An ninh,train
article_0305,0,Non-clickbait,VnExpress,Quốc tế,245,Chính trị & An ninh,train
article_0309,0,Non-clickbait,VnExpress,Quốc tế,246,Chính trị & An ninh,train
article_0310,0,Non-clickbait,VnExpress,Quốc tế,247,Chính trị & An ninh,train
article_0311,0,Non-clickbait,VnExpress,Quốc tế,248,Chính trị & An ninh,train
article_0312,0,Non-clickbait,VnExpress,Quốc tế,249,Chính trị & An ninh,train
article_0313,0,Non-clickbait,VnExpress,Quốc tế,250,Chính trị & An ninh,train
article_0314,0,Non-clickbait,VnExpress,Quốc tế,251,Chính trị & An ninh,train
article_0315,0,Non-clickbait,VnExpress,Quốc tế,252,Chính trị & An ninh,train
article_0316,0,Non-clickbait,VnExpress,Quốc tế,253,Chính trị & An ninh,train
article_0317,0,Non-clickbait,VnExpress,Quốc tế,254,Chính trị & An ninh,train
article_0318,0,Non-clickbait,VnExpress,Quốc tế,255,Chính trị & An ninh,train
article_0319,0,Non-clickbait,VnExpress,Quốc tế,256,Chính trị & An ninh,train
article_0320,0,Non-clickbait,VnExpress,Quốc tế,257,Chính trị & An ninh,train
article_0321,0,Non-clickbait,VnExpress,Quốc tế,258,Chính trị & An ninh,train
article_0322,0,Non-clickbait,VnExpress,Quốc tế,259,Chính trị & An ninh,train
article_0323,0,Non-clickbait,VnExpress,Quốc tế,260,Chính trị & An ninh,train
article_0324,0,Non-clickbait,VnExpress,Quốc tế,261,Chính trị & An ninh,train
article_0325,0,Non-clickbait,VnExpress,Quốc tế,262,Chính trị & An ninh,train
article_0326,0,Non-clickbait,Tuổi Trẻ,Quốc tế,263,Chính trị & An ninh,train
article_0327,0,Non-clickbait,Tuổi Trẻ,Kinh doanh & Kinh tế,264,Chính trị & An ninh,train
article_0328,0,Non-clickbait,Tuổi Trẻ,Quốc tế,265,Chính trị & An ninh,train
article_0329,0,Non-clickbait,Tuổi Trẻ,Quốc tế,266,Chính trị & An ninh,train
article_0331,0,Non-clickbait,Tuổi Trẻ,Quốc tế,267,Chính trị & An ninh,train
article_0332,0,Non-clickbait,Tuổi Trẻ,Quốc tế,268,Chính trị & An ninh,train
article_0333,0,Non-clickbait,Tuổi Trẻ,Quốc tế,269,Chính trị & An ninh,train
article_0334,0,Non-clickbait,Tuổi Trẻ,Quốc tế,270,Chính trị & An ninh,train
article_0335,0,Non-clickbait,Tuổi Trẻ,Quốc tế,271,Chính trị & An ninh,train
article_0336,0,Non-clickbait,Tuổi Trẻ,Văn hóa & Nghệ thuật,272,Chính trị & An ninh,train
article_0337,0,Non-clickbait,Tuổi Trẻ,Quốc tế,273,Chính trị & An ninh,train
article_0339,0,Non-clickbait,Tuổi Trẻ,Other,274,Chính trị & An ninh,train
article_0340,0,Non-clickbait,Tuổi Trẻ,Other,275,Chính trị & An ninh,train
article_0341,0,Non-clickbait,Tuổi Trẻ,Quốc tế,276,Chính trị & An ninh,train
article_0342,0,Non-clickbait,Tuổi Trẻ,Quốc tế,277,Chính trị & An ninh,train
article_0343,0,Non-clickbait,Tuổi Trẻ,Quốc tế,278,Chính trị & An ninh,train
article_0344,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,279,Chính trị & An ninh,train
article_0345,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,280,Chính trị & An ninh,train
article_0348,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,281,Chính trị & An ninh,train
article_0349,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,282,Chính trị & An ninh,train
article_0350,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,283,Chính trị & An ninh,train
article_0351,0,Non-clickbait,Thanh Niên,Other,284,Chính trị & An ninh,train
article_0352,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,285,Chính trị & An ninh,train
article_0353,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,286,Chính trị & An ninh,train
article_0354,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,287,Chính trị & An ninh,train
article_0355,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,288,Chính trị & An ninh,train
article_0356,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,289,Chính trị & An ninh,train
article_0357,0,Non-clickbait,Thanh Niên,Other,290,Chính trị & An ninh,train
article_0358,0,Non-clickbait,Thanh Niên,Other,291,Chính trị & An ninh,train
article_0359,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,292,Chính trị & An ninh,train
article_0360,0,Non-clickbait,Thanh Niên,Other,293,Chính trị & An ninh,train
article_0361,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,294,Chính trị & An ninh,train
article_0362,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,295,Chính trị & An ninh,train
article_0364,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,296,Chính trị & An ninh,train
article_0365,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,297,Chính trị & An ninh,train
article_0367,0,Non-clickbait,Thanh Niên,Other,298,Chính trị & An ninh,train
article_0368,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,299,Chính trị & An ninh,train
article_0369,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,300,Chính trị & An ninh,train
article_0370,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,301,Chính trị & An ninh,train
