id,split,label,label_str,source,category,publish_dt,duplicate_group
article_0566,test,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,2025-06-22 15:26:00.000,449
article_0568,test,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,2025-06-22 08:03:00.000,451
article_0569,test,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,2025-06-22 04:23:00.000,452
article_0572,test,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,2025-06-21 17:46:00.000,455
article_0590,test,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,2025-06-20 11:17:00.000,470
article_0603,test,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,2025-06-19 17:00:00.000,483
article_0614,test,0,Non-clickbait,Tuổi Trẻ,Chính trị & An ninh,2025-03-28 01:25:29.000,493
article_0616,test,1,Clickbait,Tuổi Trẻ,Chính trị & An ninh,2025-06-22 22:30:05.000,2599
article_0618,test,0,Non-clickbait,Tuổi Trẻ,Chính trị & An ninh,2025-06-11 22:35:00.000,495
article_0628,test,0,Non-clickbait,Thanh Niên,Other,2025-06-23 03:00:00.000,504
article_0631,test,0,Non-clickbait,Thanh Niên,Quốc tế,2025-06-23 01:00:00.000,507
article_0636,test,0,Non-clickbait,Thanh Niên,Quốc tế,2025-06-22 22:00:00.000,511
article_0647,test,0,Non-clickbait,Thanh Niên,Other,2025-06-22 06:00:00.000,520
article_0653,test,0,Non-clickbait,Thanh Niên,Other,2025-06-18 06:10:00.000,2608
article_0654,test,0,Non-clickbait,Thanh Niên,Other,2025-06-18 03:12:00.000,2609
article_0656,test,0,Non-clickbait,Thanh Niên,Other,2025-04-29 23:15:00.000,523
article_0658,test,0,Non-clickbait,Thanh Niên,Other,2025-06-18 14:38:00.000,2611
article_0660,test,1,Clickbait,Thanh Niên,Other,2025-06-16 03:05:00.000,2613
article_0668,test,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,2025-06-22 19:49:00.000,528
article_0671,test,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,2025-06-21 08:24:00.000,529
article_0674,test,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,2025-06-22 05:45:00.000,2620
article_0689,test,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,2025-06-20 11:54:00.000,545
article_0690,test,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,2025-06-21 09:00:00.000,546
article_0695,test,1,Clickbait,Kênh14,Giải trí & Showbiz,2025-06-22 21:45:00.000,2622
article_0696,test,1,Clickbait,Kênh14,Giải trí & Showbiz,2025-06-22 21:13:00.000,2623
article_0708,test,1,Clickbait,SaoStar,Quốc tế,2025-06-22 05:00:00.000,554
article_0710,test,0,Non-clickbait,SaoStar,Quốc tế,2025-06-22 00:00:00.000,556
article_0711,test,1,Clickbait,SaoStar,Quốc tế,2025-06-21 23:30:00.000,2632
article_0717,test,1,Clickbait,SaoStar,Quốc tế,2025-06-21 02:30:00.000,2637
article_0718,test,1,Clickbait,SaoStar,Quốc tế,2025-06-21 00:00:00.000,2638
article_0719,test,1,Clickbait,SaoStar,Quốc tế,2025-06-20 23:30:00.000,2639
article_0731,test,0,Non-clickbait,24h,Chính trị & An ninh,2025-06-23 06:52:00.000,2647
article_0732,test,1,Clickbait,24h,Chính trị & An ninh,2025-06-23 03:28:00.000,2648
article_0736,test,0,Non-clickbait,24h,Chính trị & An ninh,2025-06-22 00:08:34.000,564
article_0742,test,0,Non-clickbait,24h,Chính trị & An ninh,2025-06-21 04:55:40.000,567
article_0746,test,0,Non-clickbait,24h,Chính trị & An ninh,2025-06-20 07:35:00.000,571
article_0757,test,0,Non-clickbait,24h,Tin tức tổng hợp,2025-06-23 06:46:00.000,581
article_0760,test,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:11:00.000,584
article_0766,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:12:00.000,590
article_0769,test,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 07:07:00.000,593
article_0782,test,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:43:00.000,606
article_0785,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:37:00.000,609
article_0791,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:26:46.000,615
article_0795,test,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:21:00.000,619
article_0804,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:15:00.000,628
article_0807,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:13:00.000,631
article_0808,test,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:12:00.000,632
article_0815,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:06:00.000,638
article_0820,test,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 05:57:00.000,643
article_0827,test,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,2025-06-23 00:00:00.000,649
article_0831,test,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,2025-06-22 17:00:00.000,2655
article_0836,test,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,2025-06-22 07:00:00.000,655
article_0848,test,1,Clickbait,VnExpress,Công nghệ & Khoa học,2025-06-20 13:00:00.000,2656
article_0852,test,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,2025-06-20 07:23:00.000,669
article_0858,test,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,2025-06-19 17:00:00.000,675
article_0860,test,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,2025-06-20 02:30:00.000,677
article_0864,test,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,2025-06-19 04:00:00.000,681
article_0875,test,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,2025-06-18 06:47:00.000,692
article_0878,test,0,Non-clickbait,Tuổi Trẻ,Quốc tế,2025-06-22 16:18:49.000,694
article_0880,test,0,Non-clickbait,Tuổi Trẻ,Kinh doanh & Kinh tế,2025-06-22 06:13:37.000,696
article_0883,test,1,Clickbait,Tuổi Trẻ,Kinh doanh & Kinh tế,2025-06-21 23:46:34.000,2658
article_0888,test,0,Non-clickbait,Tuổi Trẻ,Kinh doanh & Kinh tế,2025-06-22 03:57:06.000,702
article_0890,test,0,Non-clickbait,Tuổi Trẻ,Kinh doanh & Kinh tế,2025-06-22 14:52:11.000,704
article_0894,test,1,Clickbait,Thanh Niên,Other,2025-06-22 23:47:00.000,2660
article_0895,test,0,Non-clickbait,Thanh Niên,Kinh doanh & Kinh tế,2025-06-22 22:56:00.000,708
article_0896,test,0,Non-clickbait,Thanh Niên,Other,2025-06-22 22:55:00.000,709
article_0898,test,0,Non-clickbait,Thanh Niên,Kinh doanh & Kinh tế,2025-06-23 04:39:00.000,710
article_0903,test,0,Non-clickbait,Thanh Niên,Other,2025-06-22 10:28:00.000,715
article_0905,test,0,Non-clickbait,Thanh Niên,Kinh doanh & Kinh tế,2025-06-22 06:51:00.000,717
article_0914,test,0,Non-clickbait,Thanh Niên,Kinh doanh & Kinh tế,2025-06-21 10:13:00.000,724
article_0915,test,0,Non-clickbait,Thanh Niên,Kinh doanh & Kinh tế,2025-06-21 09:20:00.000,725
article_0917,test,0,Non-clickbait,Thanh Niên,Kinh doanh & Kinh tế,2025-06-21 09:08:00.000,727
article_0918,test,0,Non-clickbait,Thanh Niên,Kinh doanh & Kinh tế,2025-06-21 07:31:00.000,728
article_0922,test,1,Clickbait,Thanh Niên,Kinh doanh & Kinh tế,2025-06-01 23:17:00.000,2664
article_0923,test,0,Non-clickbait,Thanh Niên,Other,2025-06-02 03:46:00.000,732
article_0935,test,1,Clickbait,Thanh Niên,Other,2025-06-23 03:00:00.000,2668
article_0947,test,1,Clickbait,VietNamNet,Thể thao,2025-06-22 21:08:00.000,2672
article_0952,test,0,Non-clickbait,VietNamNet,Thể thao,2025-06-22 08:02:00.000,753
article_0956,test,0,Non-clickbait,VietNamNet,Thể thao,2025-06-22 22:31:00.000,755
article_0958,test,0,Non-clickbait,VietNamNet,Thể thao,2025-06-22 17:54:00.000,756
article_0960,test,1,Clickbait,VietNamNet,Thể thao,2025-06-22 09:10:00.000,2676
article_0964,test,0,Non-clickbait,VietNamNet,Thể thao,2025-06-22 08:36:00.000,761
article_0965,test,0,Non-clickbait,VietNamNet,Thể thao,2025-06-22 07:53:00.000,762
article_0973,test,1,Clickbait,Kênh14,Giải trí & Showbiz,2025-06-22 20:06:00.000,770
article_0978,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-23 02:38:18.005,2678
article_0979,test,0,Non-clickbait,SaoStar,Giải trí & Showbiz,2025-06-23 00:00:00.000,2679
article_0981,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-22 23:00:00.000,774
article_0987,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-22 07:00:00.000,2685
article_0989,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-22 03:06:34.256,2687
article_0993,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-21 23:15:00.000,778
article_0996,test,0,Non-clickbait,SaoStar,Giải trí & Showbiz,2025-06-21 11:56:02.608,2689
article_0999,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-21 04:50:47.331,783
article_1002,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-21 00:00:00.000,2690
article_1005,test,0,Non-clickbait,24h,Kinh doanh & Kinh tế,2025-06-23 01:55:35.000,2692
article_1006,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-23 07:02:00.000,2693
article_1011,test,0,Non-clickbait,24h,Kinh doanh & Kinh tế,2025-06-22 08:14:00.000,2697
article_1012,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-20 08:39:00.000,2698
article_1013,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-22 00:00:00.000,536
article_1014,test,0,Non-clickbait,24h,Kinh doanh & Kinh tế,2025-06-22 12:00:00.000,2699
article_1018,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-22 05:47:00.000,2703
article_1022,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-23 00:00:00.000,2707
article_1028,test,0,Non-clickbait,24h,Kinh doanh & Kinh tế,2025-06-15 22:00:00.000,791
article_1030,test,1,Clickbait,24h,Other,2025-02-10 03:00:00.000,792
article_1033,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-18 09:30:00.000,2712
article_1039,test,0,Non-clickbait,24h,Kinh doanh & Kinh tế,2025-06-21 00:00:00.000,796
article_1040,test,0,Non-clickbait,24h,Other,2025-06-21 12:00:00.000,797
article_1046,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-23 06:17:00.000,801
article_1047,test,0,Non-clickbait,24h,Kinh doanh & Kinh tế,2025-06-23 01:04:10.000,802
article_1049,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:23:19.000,804
article_1051,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:00:00.000,2716
article_1056,test,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 07:26:00.000,810
article_1074,test,1,Clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 06:12:00.000,2719
article_1076,test,1,Clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 06:07:00.000,2721
article_1079,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 05:50:00.000,827
article_1094,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 04:58:00.000,841
article_1103,test,0,Non-clickbait,VnExpress,Other,2025-06-23 02:22:00.000,849
article_1117,test,1,Clickbait,VnExpress,Other,2025-06-21 05:45:00.000,2725
article_1121,test,0,Non-clickbait,VnExpress,Other,2025-06-21 03:30:00.000,863
article_1123,test,0,Non-clickbait,VnExpress,Other,2025-06-19 23:53:00.000,865
article_1126,test,0,Non-clickbait,VnExpress,Other,2025-06-19 08:50:00.000,868
article_1128,test,0,Non-clickbait,VnExpress,Other,2025-06-18 17:00:00.000,870
article_1129,test,0,Non-clickbait,VnExpress,Other,2025-06-19 02:52:00.000,871
article_1134,test,0,Non-clickbait,VnExpress,Other,2025-06-19 01:00:00.000,875
article_1136,test,0,Non-clickbait,VnExpress,Other,2025-06-18 06:06:00.000,877
article_1140,test,0,Non-clickbait,VnExpress,Other,2025-06-17 22:00:00.000,881
article_1145,test,0,Non-clickbait,VnExpress,Other,2025-06-17 08:32:00.000,886
article_1150,test,0,Non-clickbait,VnExpress,Other,2025-06-17 10:00:00.000,891
article_1151,test,0,Non-clickbait,VnExpress,Other,2025-06-17 02:00:00.000,892
article_1152,test,0,Non-clickbait,VnExpress,Other,2025-06-17 01:00:00.000,893
article_1156,test,0,Non-clickbait,VnExpress,Other,2025-06-15 17:10:00.000,897
article_1158,test,0,Non-clickbait,VnExpress,Other,2025-06-16 08:00:00.000,899
article_1162,test,0,Non-clickbait,VnExpress,Other,2025-06-15 07:19:00.000,903
article_1164,test,1,Clickbait,VnExpress,Other,2025-06-14 18:17:00.000,2727
article_1166,test,0,Non-clickbait,VnExpress,Other,2025-06-14 10:27:00.000,906
article_1175,test,1,Clickbait,Tuổi Trẻ,Công nghệ & Khoa học,2025-06-20 00:29:53.000,2730
article_1189,test,1,Clickbait,Tuổi Trẻ,Công nghệ & Khoa học,2025-06-18 12:16:00.000,2740
article_1190,test,1,Clickbait,Tuổi Trẻ,Công nghệ & Khoa học,2025-06-14 03:39:00.000,2741
article_1192,test,0,Non-clickbait,Thanh Niên,Other,2025-06-23 04:15:00.000,917
article_1202,test,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-14 01:18:00.000,2748
article_1208,test,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-23 06:29:00.000,924
article_1217,test,0,Non-clickbait,Thanh Niên,Other,2025-06-21 07:09:00.000,932
article_1220,test,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-22 08:05:00.000,935
article_1225,test,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-22 02:58:00.000,938
article_1226,test,1,Clickbait,Thanh Niên,Other,2025-06-22 02:09:00.000,2755
article_1228,test,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-21 23:03:00.000,940
article_1237,test,1,Clickbait,Thanh Niên,Other,2025-06-16 05:16:00.000,945
article_1250,test,1,Clickbait,VietNamNet,Giáo dục & Học đường,2025-06-22 11:53:00.000,2762
article_1252,test,1,Clickbait,VietNamNet,Giáo dục & Học đường,2025-06-22 06:49:00.000,2764
article_1253,test,0,Non-clickbait,VietNamNet,Giáo dục & Học đường,2025-06-21 08:38:00.000,956
article_1268,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-23 00:03:59.426,2771
article_1271,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-22 05:01:28.816,2773
article_1273,test,1,Clickbait,SaoStar,Giải trí & Showbiz,2025-06-21 03:24:00.045,2775
article_1276,test,0,Non-clickbait,SaoStar,Giải trí & Showbiz,2025-06-20 15:00:58.613,966
article_1279,test,0,Non-clickbait,SaoStar,Giải trí & Showbiz,2025-06-20 02:47:49.821,967
article_1294,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-22 13:32:00.000,972
article_1295,test,1,Clickbait,24h,Other,2025-06-21 03:00:00.000,973
article_1301,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-22 07:51:00.000,2793
article_1308,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-21 08:00:00.000,978
article_1309,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-21 06:30:00.000,2798
article_1316,test,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-20 07:20:54.000,2801
article_1320,test,1,Clickbait,Báo Mới,Other,2025-06-23 07:00:00.000,2803
article_1321,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 05:03:37.000,985
article_1325,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 08:05:00.000,988
article_1328,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 08:03:00.000,991
article_1334,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:56:49.000,995
article_1336,test,1,Clickbait,Báo Mới,Other,2025-06-23 07:56:00.000,2807
article_1343,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:47:00.000,1001
article_1344,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:46:49.000,1002
article_1345,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:44:01.000,1003
article_1347,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:42:43.000,1005
article_1350,test,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:39:00.000,1008
article_1354,test,1,Clickbait,Báo Mới,Other,2025-06-23 07:33:31.000,2810
article_1364,test,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:21:00.000,1020
article_1365,test,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:21:00.000,1021
article_1386,test,1,Clickbait,VnExpress,Other,2025-06-22 17:02:00.000,2816
article_1389,test,0,Non-clickbait,VnExpress,Other,2025-06-23 07:00:00.000,1036
article_1400,test,0,Non-clickbait,VnExpress,Other,2025-06-23 01:00:00.000,1045
article_1410,test,1,Clickbait,VnExpress,Other,2025-06-22 05:00:00.000,2821
article_1419,test,0,Non-clickbait,VnExpress,Other,2025-06-21 12:49:00.000,1060
article_1448,test,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-22 17:11:00.000,2830
article_1449,test,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-22 21:01:00.000,2831
article_1451,test,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-22 17:06:00.000,2833
article_1453,test,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-21 13:14:00.000,2834
article_1470,test,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-22 09:24:00.000,1081
article_1475,test,1,Clickbait,Thanh Niên,Other,2025-06-21 21:10:00.000,1082
article_1476,test,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-21 17:10:00.000,1083
article_1477,test,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-21 17:08:00.000,1084
article_1478,test,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-21 17:07:00.000,1085
article_1480,test,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-21 11:01:00.000,1087
article_1481,test,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-21 09:10:00.000,1088
article_1491,test,1,Clickbait,Thanh Niên,Other,2025-06-21 12:57:00.000,2852
article_1499,test,0,Non-clickbait,Thanh Niên,Other,2025-06-05 02:44:00.000,1099
article_1500,test,0,Non-clickbait,VietNamNet,Quốc tế,2025-06-23 07:10:00.000,1100
article_1503,test,0,Non-clickbait,VietNamNet,Quốc tế,2025-06-23 02:31:00.000,1103
article_1508,test,0,Non-clickbait,VietNamNet,Quốc tế,2025-06-22 22:20:00.000,1108
