id,label,label_str,source,category,publish_dt,split
article_0758,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:00:00.000,test
article_0824,0,Non-clickbait,VnExpress,Công nghệ & Khoa học,2025-06-23 06:00:00.000,test
article_1008,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-23 06:00:00.000,test
article_1392,0,Non-clickbait,VnExpress,Other,2025-06-23 06:00:00.000,test
article_2205,1,Clickbait,Báo Mới,Other,2025-06-23 06:00:00.000,test
article_2753,1,Clickbait,Báo Mới,Other,2025-06-23 06:00:00.000,test
article_2982,0,Non-clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 06:00:00.000,test
article_1921,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:00:05.000,test
article_1679,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 06:01:00.000,test
article_3128,1,Clickbait,VietNamNet,Other,2025-06-23 06:01:00.000,test
article_3650,1,Clickbait,24h,Giải trí & Showbiz,2025-06-23 06:01:00.000,test
article_0817,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:03:00.000,test
article_0221,1,Clickbait,Báo Mới,Thể thao,2025-06-23 06:03:04.000,test
article_2587,0,Non-clickbait,Thanh Niên,Other,2025-06-23 06:04:00.000,test
article_0236,1,Clickbait,Báo Mới,Thể thao,2025-06-23 06:05:00.000,test
article_0237,1,Clickbait,Báo Mới,Thể thao,2025-06-23 06:05:00.000,test
article_0662,0,Non-clickbait,VietNamNet,Kinh doanh & Kinh tế,2025-06-23 06:05:00.000,test
article_2981,0,Non-clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 06:05:00.000,test
article_0240,1,Clickbait,Báo Mới,Thể thao,2025-06-23 06:06:00.000,test
article_0814,1,Clickbait,Báo Mới,Other,2025-06-23 06:06:00.000,test
article_0815,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:06:00.000,test
article_0816,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:06:00.000,test
article_2485,0,Non-clickbait,VnExpress,Other,2025-06-23 06:06:00.000,test
article_0509,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:07:00.000,test
article_0813,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:07:00.000,test
article_1076,1,Clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 06:07:00.000,test
article_1077,1,Clickbait,Báo Mới,Other,2025-06-23 06:07:00.000,test
article_0812,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:07:54.000,test
article_0938,0,Non-clickbait,VietNamNet,Thể thao,2025-06-23 06:08:00.000,test
article_0810,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:09:00.000,test
article_0811,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:09:00.000,test
article_2586,1,Clickbait,Thanh Niên,Other,2025-06-23 06:09:00.000,test
article_1942,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:09:15.000,test
article_0230,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:10:00.000,test
article_0809,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:10:00.000,test
article_1678,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 06:10:00.000,test
article_2752,0,Non-clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 06:10:00.000,test
article_1918,1,Clickbait,Báo Mới,Thể thao,2025-06-23 06:10:40.000,test
article_0760,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:11:00.000,test
article_1677,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 06:11:00.000,test
article_0179,0,Non-clickbait,24h,Tin tức tổng hợp,2025-06-23 06:11:23.000,test
article_0808,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:12:00.000,test
article_1074,1,Clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 06:12:00.000,test
article_1075,1,Clickbait,Báo Mới,Other,2025-06-23 06:12:00.000,test
article_1676,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 06:12:00.000,test
article_3280,0,Non-clickbait,VnExpress,Other,2025-06-23 06:12:00.000,test
article_2751,1,Clickbait,Báo Mới,Other,2025-06-23 06:12:41.000,test
article_0807,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:13:00.000,test
article_2021,0,Non-clickbait,Tuổi Trẻ,Văn hóa & Nghệ thuật,2025-06-23 06:13:00.000,test
article_2425,0,Non-clickbait,Báo Mới,Chính trị & An ninh,2025-06-23 06:13:00.000,test
article_0508,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:13:31.000,test
article_0805,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:14:00.000,test
article_0806,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:14:00.000,test
article_1073,1,Clickbait,Báo Mới,Other,2025-06-23 06:14:00.000,test
article_1387,0,Non-clickbait,VnExpress,Other,2025-06-23 06:14:00.000,test
article_0803,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:15:00.000,test
article_0804,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:15:00.000,test
article_1209,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-23 06:15:00.000,test
article_2203,0,Non-clickbait,Báo Mới,Giải trí & Showbiz,2025-06-23 06:15:08.000,test
article_0234,1,Clickbait,Báo Mới,Thể thao,2025-06-23 06:15:21.000,test
article_0231,1,Clickbait,Báo Mới,Thể thao,2025-06-23 06:15:33.000,test
article_0232,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:15:36.000,test
article_0802,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:16:00.000,test
article_1071,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 06:16:00.000,test
article_1072,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 06:16:00.000,test
article_2749,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:16:00.000,test
article_2750,0,Non-clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 06:16:00.000,test
article_2980,1,Clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 06:16:00.000,test
article_0801,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:16:02.000,test
article_2748,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:16:16.000,test
article_0800,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:17:00.000,test
article_1046,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-23 06:17:00.000,test
article_2370,0,Non-clickbait,Kênh14,Sức khỏe & Đời sống,2025-06-23 06:17:00.000,test
article_0799,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:17:19.000,test
article_0507,1,Clickbait,Báo Mới,Quốc tế,2025-06-23 06:18:00.000,test
article_0798,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:18:00.000,test
article_2201,0,Non-clickbait,Báo Mới,Giải trí & Showbiz,2025-06-23 06:18:00.000,test
article_2747,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:18:00.000,test
article_3103,0,Non-clickbait,Thanh Niên,Other,2025-06-23 06:18:00.000,test
article_0235,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:18:02.000,test
article_0797,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:18:22.000,test
article_0349,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,2025-06-23 06:19:00.000,test
article_0796,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:19:00.000,test
article_0506,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:19:19.000,test
article_0505,1,Clickbait,Báo Mới,Quốc tế,2025-06-23 06:20:00.000,test
article_2200,1,Clickbait,Báo Mới,Other,2025-06-23 06:20:37.000,test
article_0795,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:21:00.000,test
article_1070,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:21:00.000,test
article_0389,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,2025-06-23 06:22:00.000,test
article_0503,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:22:00.000,test
article_0504,1,Clickbait,Báo Mới,Quốc tế,2025-06-23 06:22:00.000,test
article_0794,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:22:00.000,test
article_1069,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:22:00.000,test
article_3072,0,Non-clickbait,Tuổi Trẻ,Other,2025-06-23 06:22:55.000,test
article_1375,0,Non-clickbait,VnExpress,Other,2025-06-23 06:23:00.000,test
article_0793,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:24:00.000,test
article_1675,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 06:24:00.000,test
article_0502,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:25:00.000,test
article_0792,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:25:00.000,test
article_2978,1,Clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 06:25:00.000,test
article_0495,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:26:00.000,test
article_2199,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:26:00.000,test
article_1674,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:26:38.000,test
article_0791,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:26:46.000,test
article_0790,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:27:00.000,test
article_0388,0,Non-clickbait,VietNamNet,Tin tức tổng hợp,2025-06-23 06:28:00.000,test
article_0789,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:28:00.000,test
article_3163,0,Non-clickbait,24h,Giải trí & Showbiz,2025-06-23 06:28:00.000,test
article_2198,1,Clickbait,Báo Mới,Giải trí & Showbiz,2025-06-23 06:28:35.000,test
article_1208,0,Non-clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-23 06:29:00.000,test
article_2824,1,Clickbait,Thanh Niên,Other,2025-06-23 06:29:00.000,test
article_2977,1,Clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 06:29:21.000,test
article_1673,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:29:39.000,test
article_0348,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,2025-06-23 06:30:00.000,test
article_1941,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:30:00.000,test
article_2166,0,Non-clickbait,24h,Other,2025-06-23 06:30:00.000,test
article_2197,0,Non-clickbait,Báo Mới,Giải trí & Showbiz,2025-06-23 06:30:00.000,test
article_1940,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:30:24.000,test
article_0501,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:31:00.000,test
article_0788,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:31:00.000,test
article_1068,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:31:00.000,test
article_1571,1,Clickbait,24h,Thể thao,2025-06-23 06:31:00.000,test
article_1672,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 06:32:00.000,test
article_1702,0,Non-clickbait,VnExpress,Thể thao,2025-06-23 06:32:00.000,test
article_1067,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 06:33:00.000,test
article_1671,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:33:00.000,test
article_3787,0,Non-clickbait,24h,Giáo dục & Học đường,2025-06-23 06:33:52.000,test
article_0786,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:35:00.000,test
article_0787,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:35:00.000,test
article_3517,0,Non-clickbait,Tuổi Trẻ,Other,2025-06-23 06:36:48.000,test
article_0785,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:37:00.000,test
article_1760,0,Non-clickbait,Tuổi Trẻ,Du lịch & Ẩm thực,2025-06-23 06:37:44.000,test
article_0784,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:37:55.000,test
article_2196,0,Non-clickbait,Báo Mới,Giải trí & Showbiz,2025-06-23 06:39:00.000,test
article_1670,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:39:37.000,test
article_2539,0,Non-clickbait,Tuổi Trẻ,Thể thao,2025-06-23 06:40:11.000,test
article_0146,1,Clickbait,Kênh14,Sức khỏe & Đời sống,2025-06-23 06:41:00.000,test
article_1463,1,Clickbait,Thanh Niên,Sức khỏe & Đời sống,2025-06-23 06:41:00.000,test
article_1669,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 06:42:00.000,test
article_2195,1,Clickbait,Báo Mới,Giải trí & Showbiz,2025-06-23 06:42:00.000,test
article_0490,0,Non-clickbait,24h,Tin tức tổng hợp,2025-06-23 06:43:00.000,test
article_0782,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:43:00.000,test
article_0783,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:43:00.000,test
article_1570,1,Clickbait,24h,Thể thao,2025-06-23 06:43:00.000,test
article_1939,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:43:00.000,test
article_0500,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:43:47.000,test
article_3482,0,Non-clickbait,Báo Mới,Xe & Vận tải,2025-06-23 06:44:00.000,test
article_0499,1,Clickbait,Báo Mới,Quốc tế,2025-06-23 06:45:00.000,test
article_0757,0,Non-clickbait,24h,Tin tức tổng hợp,2025-06-23 06:46:00.000,test
article_0781,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:46:00.000,test
article_0780,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:47:00.000,test
article_2194,1,Clickbait,Báo Mới,Giải trí & Showbiz,2025-06-23 06:47:00.000,test
article_0779,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:47:53.000,test
article_1938,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 06:48:00.000,test
article_1937,1,Clickbait,Báo Mới,Thể thao,2025-06-23 06:49:00.000,test
article_0498,0,Non-clickbait,Báo Mới,Quốc tế,2025-06-23 06:50:00.000,test
article_0778,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:50:00.000,test
article_1668,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:50:00.000,test
article_2746,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:50:00.000,test
article_1066,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:51:00.000,test
article_0731,0,Non-clickbait,24h,Chính trị & An ninh,2025-06-23 06:52:00.000,test
article_1636,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 06:53:00.000,test
article_0552,0,Non-clickbait,VnExpress,Kinh doanh & Kinh tế,2025-06-23 06:54:00.000,test
article_2334,0,Non-clickbait,VietNamNet,Công nghệ & Khoa học,2025-06-23 06:54:00.000,test
article_1207,1,Clickbait,Thanh Niên,Other,2025-06-23 06:55:00.000,test
article_1667,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 06:55:00.000,test
article_2745,0,Non-clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 06:55:00.000,test
article_2541,1,Clickbait,Tuổi Trẻ,Thể thao,2025-06-23 06:57:03.000,test
article_1050,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 06:58:00.000,test
article_1064,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 06:58:00.000,test
article_1065,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 06:58:00.000,test
article_2743,0,Non-clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 06:58:00.000,test
article_2744,0,Non-clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 06:58:00.000,test
article_0777,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:58:15.000,test
article_0775,0,Non-clickbait,Báo Mới,Other,2025-06-23 06:59:00.000,test
article_0776,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 06:59:00.000,test
article_1373,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 06:59:00.000,test
article_1374,0,Non-clickbait,VnExpress,Other,2025-06-23 06:59:00.000,test
article_0145,1,Clickbait,Kênh14,Sức khỏe & Đời sống,2025-06-23 07:00:00.000,test
article_0773,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 07:00:00.000,test
article_0774,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 07:00:00.000,test
article_1037,0,Non-clickbait,24h,Other,2025-06-23 07:00:00.000,test
article_1051,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:00:00.000,test
article_1320,1,Clickbait,Báo Mới,Other,2025-06-23 07:00:00.000,test
article_1372,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:00:00.000,test
article_1389,0,Non-clickbait,VnExpress,Other,2025-06-23 07:00:00.000,test
article_1390,0,Non-clickbait,VnExpress,Other,2025-06-23 07:00:00.000,test
article_1391,0,Non-clickbait,VnExpress,Other,2025-06-23 07:00:00.000,test
article_1666,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 07:00:00.000,test
article_0772,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:00:12.000,test
article_3074,0,Non-clickbait,Tuổi Trẻ,Other,2025-06-23 07:00:43.000,test
article_1371,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:01:00.000,test
article_2369,1,Clickbait,Kênh14,Sức khỏe & Đời sống,2025-06-23 07:01:00.000,test
article_3481,0,Non-clickbait,Báo Mới,Xe & Vận tải,2025-06-23 07:01:00.000,test
article_1936,1,Clickbait,Báo Mới,Thể thao,2025-06-23 07:01:05.000,test
article_1006,1,Clickbait,24h,Kinh doanh & Kinh tế,2025-06-23 07:02:00.000,test
article_1700,0,Non-clickbait,VnExpress,Thể thao,2025-06-23 07:03:00.000,test
article_2827,1,Clickbait,Thanh Niên,Other,2025-06-23 07:04:00.000,test
article_2976,1,Clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 07:04:00.000,test
article_0771,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 07:04:02.000,test
article_0770,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 07:05:00.000,test
article_1369,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:05:00.000,test
article_1370,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:05:00.000,test
article_1665,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 07:05:00.000,test
article_1935,1,Clickbait,Báo Mới,Thể thao,2025-06-23 07:05:00.000,test
article_2742,0,Non-clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 07:05:00.000,test
article_0769,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 07:07:00.000,test
article_1063,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 07:07:00.000,test
article_1698,0,Non-clickbait,VnExpress,Thể thao,2025-06-23 07:07:00.000,test
article_0768,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 07:08:00.000,test
article_1062,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 07:08:00.000,test
article_1368,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:08:00.000,test
article_1663,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:08:00.000,test
article_1664,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:08:00.000,test
article_1934,0,Non-clickbait,Báo Mới,Thể thao,2025-06-23 07:08:00.000,test
article_0767,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 07:09:00.000,test
article_1500,0,Non-clickbait,VietNamNet,Quốc tế,2025-06-23 07:10:00.000,test
article_1061,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:11:00.000,test
article_0765,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 07:12:00.000,test
article_0766,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:12:00.000,test
article_1662,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:12:00.000,test
article_0424,1,Clickbait,Kênh14,Thể thao,2025-06-23 07:13:00.000,test
article_0763,0,Non-clickbait,Báo Mới,Tin tức tổng hợp,2025-06-23 07:13:00.000,test
article_0764,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:13:00.000,test
article_1661,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 07:13:00.000,test
article_2290,0,Non-clickbait,Thanh Niên,Văn hóa & Nghệ thuật,2025-06-23 07:13:00.000,test
article_0762,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:14:00.000,test
article_1660,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 07:14:00.000,test
article_2017,0,Non-clickbait,Tuổi Trẻ,Văn hóa & Nghệ thuật,2025-06-23 07:14:00.000,test
article_1060,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:15:00.000,test
article_1059,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 07:16:00.000,test
article_1659,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 07:16:00.000,test
article_1367,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:17:00.000,test
article_1366,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:18:00.000,test
article_1658,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 07:19:00.000,test
article_1657,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:19:39.000,test
article_1635,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:20:00.000,test
article_1363,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:21:00.000,test
article_1364,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:21:00.000,test
article_1365,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:21:00.000,test
article_3097,0,Non-clickbait,Thanh Niên,Other,2025-06-23 07:21:00.000,test
article_2172,1,Clickbait,Báo Mới,Other,2025-06-23 07:21:59.000,test
article_2137,1,Clickbait,24h,Công nghệ & Khoa học,2025-06-23 07:22:00.000,test
article_2741,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:22:00.000,test
article_1362,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:23:00.000,test
article_1435,0,Non-clickbait,Tuổi Trẻ,Xe & Vận tải,2025-06-23 07:23:00.000,test
article_1656,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 07:23:00.000,test
article_1049,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:23:19.000,test
article_1361,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:23:51.000,test
article_1058,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 07:24:00.000,test
article_1655,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:24:38.000,test
article_1360,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:25:00.000,test
article_1654,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 07:25:00.000,test
article_1056,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 07:26:00.000,test
article_1057,1,Clickbait,Báo Mới,Other,2025-06-23 07:26:00.000,test
article_1653,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 07:26:00.000,test
article_1359,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:26:31.000,test
article_1323,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:27:00.000,test
article_1652,0,Non-clickbait,Báo Mới,Giáo dục & Học đường,2025-06-23 07:28:00.000,test
article_2333,0,Non-clickbait,VietNamNet,Công nghệ & Khoa học,2025-06-23 07:28:00.000,test
article_2740,0,Non-clickbait,Báo Mới,Công nghệ & Khoa học,2025-06-23 07:28:00.000,test
article_1358,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:29:00.000,test
article_1357,0,Non-clickbait,Báo Mới,Kinh doanh & Kinh tế,2025-06-23 07:29:11.000,test
article_1054,0,Non-clickbait,Báo Mới,Văn hóa & Nghệ thuật,2025-06-23 07:30:00.000,test
article_1055,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:30:00.000,test
article_1356,0,Non-clickbait,Báo Mới,Other,2025-06-23 07:30:00.000,test
